Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"MD - Dermatology , Venereology & Leprosy, MBBS, Fellowship in Pediatric Dermatology, Fellowship in Dermatological Laser Surgery, Fellow Hair Transplant Surgery",9 years experience,97%,"Andheri West, Mumbai",Dermatologists,Acne / Pimples Treatment Scar Treatment Leucoderma Treatment,600
"MBBS, Basic Life Support (BLS), ACLS, Advanced Trauma Life Support (ATLS)",3 years experience,100%,"Mallepally, Hyderabad",General Medicine,"100% 24 Feedback Mallepally, Hyderabad",200
BAMS,37 years experience,,"Jogeshwari West, Mumbai",Ayurveda,,50
"BDS, Fellowship and Diplomate in Implantology from ICOI (USA), Certificate in Dental Implants",14 years experience,93%,"Yamuna Vihar, Delhi",Dentist,Dental Implant Fixing Advanced Cosmetic Dentistry including Digital Smile Designing (DSD) Full Mouth Reconstruction,200
"MBBS, MD - Medicine",31 years experience,,"East Of Kailash, Delhi",General Medicine,"Electrocardiography (ECG) Lab Services East Of Kailash, Delhi",900
BHMS,16 years experience,,"RT Nagar, Bangalore",Homeopath,Acne / Pimples Treatment Alopecia Areta Treatment Piles Treatment (Non Surgical),450
MS - ENT,3 years experience,,"Eroor South, Ernakulam",ENT Specialist,,250
"MBBS, DDVL",14 years experience,,"Kukatpally, Hyderabad",Dermatologists,Skin Allergies Skin Tag Treatment Anti Aging Treatment,450
"MBBS, MD - General Medicine",10 years experience,,"Malad West, Mumbai",General Medicine,,600
"MBBS, Diploma in Dermatology",8 years experience,100%,"Lajpat Nagar III, Delhi",Dermatologists,"100% 3 Feedback Lajpat Nagar III, Delhi",700
"BDS, MDS - Oral Medicine and Radiology, Certificate Course in Implantology",35 years experience,100%,"Indiranagar, Bangalore",Dentist,TMJ Therapy RCT - Single Sitting Dental Fillings,400
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",19 years experience,,"Kodungaiyur, Chennai",ENT Specialist,,150
"MBBS, DGO, MD - Obstetrics & Gynaecology",54 years experience,,"Kumarapuram, Thiruvananthapuram",General Medicine,,500
"MBBS, Diploma in Child Health (DCH)",46 years experience,,"Kuppakonanpudur, Coimbatore",General Medicine,,150
BDS,6 years experience,,"Paradise, Hyderabad",Dentist,Smile Design Facet Dental Dental Crowns,250
"MBBS, Diploma in Otorhinolaryngology (DLO)",16 years experience,,"Rajajinagar, Bangalore",ENT Specialist,,400
BHMS,15 years experience,98%,"Bhandup West, Mumbai",Homeopath,Diabetes Management Heart Conditions Dysmenorrhea Treatment,100
"MBBS, MD - Alternate Medicine",44 years experience,,"Andheri East, Mumbai",General Medicine,,300
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",0 years experience,,"Saligramam, Chennai",ENT Specialist,,100
"BAMS, MD - Alternate Medicine, Diploma In Pharmacy",20 years experience,,"Rohini Sector 4, Delhi",Ayurveda,,200
BDS,7 years experience,,"Lajpat Nagar, Delhi",Dentist,Dental Fillings Dental Implant Fixing RCT - Single Sitting,250
MBBS,44 years experience,,"Edapally, Ernakulam",General Medicine,,100
BHMS,0 years experience,,"Vidyanagar, Hyderabad",Homeopath,,200
"BAMS, MD - Ayurveda Medicine",19 years experience,,"Matunga, Mumbai",Ayurveda,,500
"BDS, MDS - Periodontics",6 years experience,,"Jubilee Hills, Hyderabad",Dentist,Scaling / Polishing Pulpectomy Orthodontic Treatment,200
"MBBS, MS - ENT",19 years experience,,"Shalimar Bagh, Delhi",ENT Specialist,Surgery for Snoring Functional Endoscopic Sinus Surgery - FESS Head and Neck Tumor / Cancer Surgery,800
"MBBS, MD - Medicine",39 years experience,,"Saket, Delhi",General Medicine,"3 Feedback Saket, Delhi ₹1,200",100
"MBBS, MD - Medicine",47 years experience,74%,"Banashankari 2nd Stage, Bangalore",General Medicine,"74% 16 Feedback Banashankari 2nd Stage, Bangalore",500
"MBBS, DDV",16 years experience,95%,"Kukatpally, Hyderabad",Dermatologists,"95% 50 Feedback Kukatpally, Hyderabad",400
"BAMS, MD - Ayurveda Medicine",12 years experience,,"Koramangala 4 Block, Bangalore",Ayurveda,,150
"MS - ENT, MBBS, DNB",13 years experience,94%,"KPHB, Hyderabad",ENT Specialist,Reconstructive Middle Ear Surgery Congenital Ear Problem Treatment Microsurgery of the Larynx,400
"MBBS, DNB - Otorhinolaryngology",11 years experience,,"Dwarka Sector 3, Delhi",ENT Specialist,,550
"BAMS, Advance Diploma in Nutrition and Dietetics, Certificate in Yoga & Meditation",5 years experience,100%,"Banashankari 2nd Stage, Bangalore",Ayurveda,"100% 5 Feedback Banashankari 2nd Stage, Bangalore",300
"MBBS, DDV",29 years experience,,"Vijayanagar, Bangalore",Dermatologists,,350
MBBS,16 years experience,100%,"Dadar, Mumbai",General Medicine,"100% 34 Feedback Dadar, Mumbai",800
"MBBS, MD - General Medicine",41 years experience,,"Old Rajendra Nagar, Delhi",General Medicine,,100
"MBBS, MD - General Medicine",13 years experience,,"Tambaram West, Chennai",General Medicine,,300
"BDS, MSc - Forensic Odontology",12 years experience,99%,"Ramanathapuram, Coimbatore",Dentist,"99% 87 Feedback Ramanathapuram, Coimbatore",100
"MBBS, MD - General Medicine, DM - Nephrology",7 years experience,100%,"Kukatpally, Hyderabad",General Medicine,Nephrectomy (Kidney Removal) Adult Nephrology Transplant Nephrology,500
"MBBS, FCD - Diabetology",13 years experience,,"Kammana Halli, Bangalore",General Medicine,Fever Treatment Health Checkup (General) Electrocardiography (ECG),450
"FRCS - General Surgery, MBBS",38 years experience,,"Saibaba Colony, Coimbatore",General Medicine,,300
"BAMS, CGO",21 years experience,,"Mulund East, Mumbai",Ayurveda,,100
BAMS,13 years experience,97%,"Whitefield, Bangalore",Ayurveda,Panchakarma Sirodhara Vasthi,350
BHMS,21 years experience,,"Rohini, Delhi",Homeopath,,500
"BDS, MDS - Periodontics",2 years experience,,"Durga Puri, Delhi",Dentist,"Durga Puri, Delhi ₹250 Visits Today",250
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",17 years experience,98%,"Andheri West, Mumbai",ENT Specialist,Reconstructive Middle Ear Surgery Congenital Ear Problem Treatment Microsurgery of the Larynx,100
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",24 years experience,,"Mogappair West, Chennai",General Medicine,,150
"MBBS, MD - Cardiology",12 years experience,96%,"Shivaji Nagar, Bangalore",General Medicine,"96% 16 Feedback Shivaji Nagar, Bangalore",400
BAMS,9 years experience,,"Dahisar East, Mumbai",Ayurveda,,100
"BDS, PGDE (Cosmetic & Esthetic Dentist)",18 years experience,,"Prabhadevi, Mumbai",Dentist,"Prabhadevi, Mumbai ₹1,000 Visits Today",100
"MDS - Prosthodontist And Crown Bridge, BDS",8 years experience,100%,"Bellandur, Bangalore",Dentist,Complete/Partial Dentures Fixing Cosmetic Veneers/Bonding Tooth Extraction,100
"MBBS, DDV",18 years experience,78%,"Krishna Nagar, Delhi",Dermatologists,"78% 97 Feedback Krishna Nagar, Delhi",300
MBBS,43 years experience,87%,"Koramangala, Bangalore",General Medicine,"87% 4 Feedback Koramangala, Bangalore",200
BDS,12 years experience,98%,"Safdarjung Enclave, Delhi",Dentist,Artificial Teeth Crowns and Bridges Fixing Acrylic Partial Denture,500
"MBBS, MS - ENT",30 years experience,,"Rohini, Delhi",ENT Specialist,,100
MBBS,30 years experience,,"Andheri West, Mumbai",ENT Specialist,,700
BHMS,11 years experience,,"Kaloor, Ernakulam",Homeopath,,50
MBBS,28 years experience,,"Prabhadevi, Mumbai",General Medicine,,500
BAMS,19 years experience,,"Kanakpura Road, Bangalore",Ayurveda,,300
"BAMS, MD - Ayurveda Medicine",11 years experience,,"Banashankari 1st Stage, Bangalore",Ayurveda,,200
BDS,2 years experience,100%,"Ghatkopar East, Mumbai",Dentist,Dental Fillings Tooth Extraction Ceramic Veneers / Crowns,100
"BDS, Post Graduate Diploma in Orthodontics, Post Graduate Certificate in Advanced Oral Implantology, Implant Externship Program",27 years experience,,"Kalamassery, Ernakulam",Dentist,,100
"BHMS, MD - Homeopathy",24 years experience,88%,"Madhu Vihar, Delhi",Homeopath,"88% 1 Feedback Madhu Vihar, Delhi",300
BAMS,0 years experience,,"Gulmohar Park, Delhi",Ayurveda,,100
BAMS,16 years experience,,"Dahisar, Mumbai",Ayurveda,,100
"MBBS, MS - ENT",20 years experience,,"Konanakunte, Bangalore",ENT Specialist,,250
"MBBS, MD - Dermatology",14 years experience,96%,"Adugodi, Bangalore",Dermatologists,"96% 6 Feedback Adugodi, Bangalore",350
"BDS, MDS",15 years experience,,"Moti Nagar, Hyderabad",Dentist,Sedation Dentistry Porcelain Veneers RCT - Root Canal Treatment,100
"MBBS, MS - ENT",12 years experience,,"Chembur, Mumbai",ENT Specialist,,100
"BHMS, MD - Homeopathy, Diploma in Nutrition and Health Education",17 years experience,,"Tilak Nagar, Delhi",Homeopath,,300
"BDS, MDS - Orthodontics",20 years experience,100%,"Virugambakkam, Chennai",Dentist,Crowns and Bridges Fixing Impaction / Impacted Tooth Extraction Conservative Dentistry,200
"BHMS, MD - Homeopathy",6 years experience,,"Kumarapuram, Thiruvananthapuram",Homeopath,,150
"MBBS, MD - Dermatology",12 years experience,98%,"Rajarajeshwarinagar, Bangalore",Dermatologists,"98% 45 Feedback Rajarajeshwarinagar, Bangalore",300
"BAMS, D.Y.A",19 years experience,,"Dadar West, Mumbai",Ayurveda,,300
"MBBS, MD - General Medicine",16 years experience,,"Anna Nagar, Chennai",General Medicine,,400
"BDS, MDS - Prosthodontics, Fellowship in Oral implantlogy",20 years experience,94%,"KPHB, Hyderabad",Dentist,Dental Implant Fixing Temporomandibular Joint Dysfunction - ATM Temporomandibular dysfunction,200
"MBBS, Diploma of the Faculty of Family Planning (DFFP), Diploma in Practical Dermatology, MRCGP",17 years experience,91%,"Banjara Hills, Hyderabad",Dermatologists,Hair Transplant Surgery Androgenetic Alopecia treatment Hair Regrowth,500
"MBBS, MD - General Medicine",38 years experience,,"Malakpet, Hyderabad",General Medicine,,600
"MBBS, MD - Dermatology",43 years experience,100%,"Greater Kailash Part 1, Delhi",Dermatologists,"100% 4 Feedback Greater Kailash Part 1, Delhi",100
BHMS,11 years experience,,"Nallagandla, Hyderabad",Homeopath,,300
"Diploma in Otorhinolaryngology (DLO), MBBS",21 years experience,,"Villivakkam, Chennai",ENT Specialist,,350
"BDS, MDS - Conservative Dentistry & Endodontics",9 years experience,98%,"Attapur, Hyderabad",Dentist,Crowns and Bridges Fixing BPS Dentures Fixing Cast Partial Denture,200
"BDS, MDS - Conservative Dentistry & Endodontics",7 years experience,100%,"Anna Nagar, Chennai",Dentist,Impaction / Impacted Tooth Extraction Conservative Dentistry Inlays and Onlays,200
"MD - Dermatology , Venereology & Leprosy, MBBS",7 years experience,,"Kodungaiyur, Chennai",Dermatologists,,200
"MBBS, MD - General Medicine",9 years experience,,"Sheikh Sarai, Delhi",General Medicine,Balance Exercises Acne / Pimples Treatment Insulin Treatment,100
"MBBS, MD - Dermatology , Venereology & Leprosy",13 years experience,100%,"Kukatpally, Hyderabad",Dermatologists,Acne / Pimples Treatment Scar Treatment Wart Removal,500
"MBBS, MS - ENT",28 years experience,,"Vijayanagar, Bangalore",ENT Specialist,,300
"MBBS, MSc - Clinical Dermatology",7 years experience,,"Whitefield, Bangalore",Dermatologists,"Whitefield, Bangalore ₹600 Visits Today",600
"MBBS, MD - Internal Medicine",27 years experience,,"Rajajinagar, Bangalore",General Medicine,Balance Exercises Acne / Pimples Treatment Insulin Treatment,450
"MBBS, DDV, MD - Dermatology",18 years experience,97%,"Andheri West, Mumbai",Dermatologists,Tattoo Removal UltraLipo Consultation,900
"MBBS, MSc - Clinical Dermatology",2 years experience,100%,"Frazer Town, Bangalore",Dermatologists,"100% 6 Feedback Frazer Town, Bangalore",500
"MDS - Orthodontics, BDS, Invisalign Training Course",16 years experience,98%,"HSR Layout, Bangalore",Dentist,Invisible/Clear Braces Dental Braces Fixing Preadjusted Edgewise Technique,100
"BDS, MDS - Periodontology and Oral Implantology",18 years experience,96%,"Jayanagar 4 Block, Bangalore",Dentist,Crowns and Bridges Fixing Tooth Extraction Dental Fillings,300
"DDVL, MBBS",3 years experience,,"Millers Road, Bangalore",Dermatologists,Microdermabrasion Wrinkle Treatment Skin Tag Treatment,700
BHMS,8 years experience,,"Shalimar Bagh, Delhi",Homeopath,,100
BDS,0 years experience,,"Tatabad, Coimbatore",Dentist,,150
"MBBS, Diploma in Dermatology",29 years experience,63%,"Malkajgiri, Hyderabad",Dermatologists,"63% 12 Feedback Malkajgiri, Hyderabad",500
"MBBS, DNB - Internal Medicine",7 years experience,,"Somajiguda, Hyderabad",General Medicine,"Somajiguda, Hyderabad ₹350 Visits Today",350
"MBBS, MS - ENT",33 years experience,,"Punjabi Bagh, Delhi",ENT Specialist,,500
BDS,3 years experience,,"Prabhadevi, Mumbai",Dentist,"Prabhadevi, Mumbai ₹500 Visits On-Call",500
"BDS, MDS - Conservative Dentistry & Endodontics",19 years experience,100%,"Kondapur, Hyderabad",Dentist,Dental Examinations Dental X-Ray Dental Crowns,200
"MBBS, MS - Otorhinolaryngology",2 years experience,,"Vijaynagar Colony, Hyderabad",ENT Specialist,,300
"MBBS, Diploma in Child Health (DCH)",31 years experience,,"Karol Bagh, Delhi",General Medicine,Chickenpox Treatment Vaccination/ Immunization Viral Fever Treatment,800
"MDS - Prosthodontist And Crown Bridge, BDS",18 years experience,93%,"Shahdara, Delhi",Dentist,"93% 27 Feedback Shahdara, Delhi",200
"MBBS, Diploma in Otorhinolaryngology (DLO), MD-DVL",7 years experience,,"Kolathur, Chennai",ENT Specialist,,300
"MBBS, MD - Dermatology",5 years experience,,"Rajouri Garden, Delhi",Dermatologists,Skin Allergy Treatment Skin Allergies Dermabrasion,500
"BDS, Advanced Certificate in Endodontics and Esthetics, Advanced Certificate Course in Aesthetic Dentistry, Advanced Certificate Course in Dental Implants",3 years experience,100%,"Gowrivakkam, Chennai",Dentist,Orthotic Splints Ceramic Veneers / Crowns Tooth Extraction,100
"MBBS, Masters in Clinical Dermatology, DNB - Dermatology & Venereology",15 years experience,73%,"East Of Kailash, Delhi",Dermatologists,Mesotherapy Hair Loss Treatment Hyper Pigmentation Treatment,800
"BDS, MDS - Conservative Dentistry & Endodontics",15 years experience,99%,"South Extension 1, Delhi",Dentist,Temporomandibular dysfunction RCT - Root Canal Treatment Laminate-Veneers,300
BAMS,34 years experience,,"Uttam Nagar, Delhi",Ayurveda,,500
MBBS,28 years experience,,"Thoraipakkam, Chennai",General Medicine,,100
MBBS,7 years experience,,"Malad West, Mumbai",General Medicine,"Malad West, Mumbai ₹400 Visits Today",400
"MBBS, MS - Orthopaedics, Fellowship in Joint Replacement, M.Ch - Orthopaedics, Diploma in Orthopaedics",22 years experience,100%,"T Nagar, Chennai",General Medicine,"100% 1 Feedback T Nagar, Chennai",500
"BDS, MDS - Pedodontics",25 years experience,100%,"Nungambakkam, Chennai",Dentist,Presurgical Orthodontics Dental Examinations Orthotic Splints,500
"MBBS, MS - ENT",15 years experience,95%,"Periyar Nagar, Chennai",ENT Specialist,"95% 19 Feedback Periyar Nagar, Chennai",250
"MDS - Prosthodontist And Crown Bridge, BDS",10 years experience,100%,"Vasant Vihar, Delhi",Dentist,Prosthetics,500
"B.Ac, BEMS",8 years experience,,"Austin Town, Bangalore",Homeopath,,400
"MBBS, MS - ENT",11 years experience,,"Banashankari 3rd Stage, Bangalore",ENT Specialist,,400
"BAMS, MD - Ayurveda Medicine",21 years experience,,"Dwarka, Delhi",Ayurveda,,200
"MBBS, Diploma in Dermatology",24 years experience,75%,"Himayat Nagar, Hyderabad",Dermatologists,"75% 2 Feedback Himayat Nagar, Hyderabad",400
BAMS,16 years experience,,"Ghatkopar East, Mumbai",Ayurveda,,80
"MD - Medicine, MBBS",28 years experience,95%,"South Extension 2, Delhi",General Medicine,"95% 5 Feedback South Extension 2, Delhi",100
"MBBS, MD - General Medicine, MD - Internal Medicine",20 years experience,,"Banjara Hills, Hyderabad",General Medicine,,400
BHMS,7 years experience,,"Malleswaram, Bangalore",Homeopath,Medical Vitiligo Treatment Psoriasis Treatment Lichen Planus Treatment,100
BAMS,18 years experience,,"Powai, Mumbai",Ayurveda,,50
BDS,2 years experience,100%,"Marathahalli, Bangalore",Dentist,Scaling / Polishing General Dentistry Dental Fillings,200
BDS,3 years experience,,"Koramangala, Bangalore",Dentist,"Koramangala, Bangalore Free Consultation Visits Today",100
BAMS,24 years experience,,"Andheri East, Mumbai",Ayurveda,,100
"MBBS, MD - Dermatology, Diploma in Venereology, Diploma in Dermatology & Venerology",39 years experience,,"Afzalgunj, Hyderabad",Dermatologists,,500
BAMS,11 years experience,,"Lajpat Nagar, Delhi",Ayurveda,,150
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",7 years experience,100%,"Gachibowli, Hyderabad",Dentist,"100% 10 Feedback Gachibowli, Hyderabad",500
"MBBS, MD - Dermatology",6 years experience,,"Indiranagar, Bangalore",Dermatologists,Laser Resurfacing Acne / Pimples Treatment Scar Treatment,500
BHMS,20 years experience,,"Bhandup West, Mumbai",Homeopath,,300
"BAMS, MD - Ayurveda Medicine",23 years experience,,"Kalyan Nagar, Bangalore",Ayurveda,,300
"BAMS, MD - Ayurveda Medicine",20 years experience,100%,"Borivali West, Mumbai",Ayurveda,"100% 7 Feedback Borivali West, Mumbai",500
"BDS, MDS - Oral & Maxillofacial Surgery",9 years experience,,"Mazgaon, Mumbai",Dentist,,200
"BHMS, MD - Homeopathy, MS - Counselling and Psychotherapy",8 years experience,99%,"Malkajgiri, Hyderabad",Homeopath,Skin Disease Treatment Kidney Stone Treatment Gall Bladder (Biliary) Stone Treatment,150
"MDS - Prosthodontics, BDS",7 years experience,100%,"Dadar West, Mumbai",Dentist,Dental Implant Fixing Full Mouth Rehabilitation Smile Design,100
"MBBS, MD - Dermatology",36 years experience,,"Andheri West, Mumbai",Dermatologists,,100
"BHMS, MD - Homeopathy",9 years experience,75%,"Sholinganallur, Chennai",Homeopath,"75% 6 Feedback Sholinganallur, Chennai",200
"MBBS, MD - Pharmacology, Diploma in Family Medicine (DFM)",33 years experience,,"Poonamalle, Chennai",General Medicine,,100
"MBBS, MS - General Surgery, DNB - ENT",32 years experience,,"Secunderabad, Hyderabad",ENT Specialist,,500
"MBBS, FACC, FSCAI",19 years experience,,"Vadavalli, Coimbatore",General Medicine,,250
"MBBS, MD - General Medicine",28 years experience,,"Malleswaram, Bangalore",General Medicine,Diabetes Management Allergy Treatment Skin Tag Treatment,500
"MBBS, FAMS - Fellowship of the Academy Medicine",37 years experience,,"Andheri West, Mumbai",General Medicine,,600
"MD - Dermatology , Venereology & Leprosy, MBBS",7 years experience,,"Kukatpally, Hyderabad",Dermatologists,,350
BAMS,3 years experience,,"Prabhadevi, Mumbai",Ayurveda,,200
"MBBS, MD - Dermatology",5 years experience,85%,"Horamavu, Bangalore",Dermatologists,"85% 10 Feedback Horamavu, Bangalore",600
"MDS - Conservative Dentistry & Endodontics, BDS",15 years experience,,"Cotton Hill, Thiruvananthapuram",Dentist,,200
"BAMS, Certificate Course in Positive Psychology, Clinical Nutritionist certifcate",9 years experience,100%,"Basaveshwaranagar, Bangalore",Ayurveda,"100% 11 Feedback Basaveshwaranagar, Bangalore",200
